Year,"Debt (billions, USD)",Normalized Year
1990,3233.31,0
1991,3665.30,1
1992,4064.62,2
1993,4411.49,3
1994,4692.75,4
1995,4973.98,5
1996,5224.81,6
1997,5413.15,7
1998,5526.19,8
1999,5656.27,9
2000,5674.18,10
2001,5807.46,11
2002,6228.24,12
2003,6783.23,13
2004,7379.05,14
2005,7932.71,15
2006,8506.97,16
2007,9007.65,17
2008,10024.72,18
2009,11909.83,19
2010,13561.62,20
2011,14790.34,21
2012,16066.24,22
2013,16738.18,23
2014,17824.07,24
2015,18150.62,25
2016,19573.45,26
2017,20244.90,27
2018,21516.06,28
2019,22719.40,29
2020,26945.39,30
